sample,value
MPCproject_0013_T,2.372
MPCproject_0022_T,1.125
MPCproject_0028_T,2.461
MPCproject_0031_T,4.215
MPCproject_0054_T,5.657
MPCproject_0056_T,5.223
MPCproject_0062_T,0.7559999999999999
MPCproject_0085_T,0.622
MPCproject_0087_T,0.7090000000000001
MPCproject_0093_T,8.105
MPCproject_0100_T,1.554
MPCproject_0120_T,3.686
MPCproject_0123_T,3.403
MPCproject_0125_T,0.398
MPCproject_0136_T,4.532
MPCproject_0142_T,1.3219999999999998
MPCproject_0149_T,4.049
MPCproject_0161_T,1.348
MPCproject_0177_T,1.06
MPCproject_0181_T,2.583
MPCproject_0182_T,2.694
MPCproject_0186_T,3.811
MPCproject_0187_T,1.6869999999999998
MPCproject_0190_T,1.449
MPCproject_0193_T,2.66
MPCproject_0212_T,0.9
MPCproject_0213_T,1.014
MPCproject_0215_T,1.891
MPCproject_0225_T,3.866
MPCproject_0234_T,16.285
MPCproject_0254_T,1.658
MPCproject_0256_T,1.885
MPCproject_0319_T,1.348
MPCproject_0336_T,2.275
MPCproject_0357_T,3.268
MPCproject_0035_T,1.34
MPCproject_0364_T,1.486
MPCproject_0036_T,1.467
MPCproject_0381_T,1.743
MPCproject_0392_T,10.635
MPCproject_0399_T,2.5860000000000003
MPCproject_0410_T,6.132999999999999
MPCproject_0041_T,1.957
MPCproject_0439_T,2.809
MPCproject_0443_T,1.923
MPCproject_0445_T,2.73
MPCproject_0488_T,2.356
MPCproject_0048_T,1.3030000000000002
MPCproject_0495_T,0.8190000000000001
MPCproject_0501_T,5.038
MPCproject_0524_T,9.032
MPCproject_0525_T,1.655
MPCproject_0557_T,1.81
MPCproject_0575_T,3.665
MPCproject_0057_T,1.024
MPCproject_0588_T,3.915
MPCproject_0608_T,8.675
MPCproject_0639_T,3.1710000000000003
MPCproject_0643_T,0.8809999999999999
MPCproject_0653_T,1.946
MPCproject_0672_T,0.5589999999999999
MPCproject_0683_T,3.245
MPCproject_0130_T,0.7170000000000001
MPCproject_0009_B,1.496
MPCproject_0029_B,1.896
MPCproject_0030_B,1.058
MPCproject_0083_B,0.07400000000000001
MPCproject_0093_B,1.874
MPCproject_0172_B,2.22
MPCproject_0203_B,1.702
MPCproject_0207_B,1.6980000000000002
MPCproject_0213_B,1.261
MPCproject_0294_B,1.455
MPCproject_0296_B,1.077
MPCproject_0002_B,1.4409999999999998
MPCproject_0328_B,1.238
MPCproject_0411_B,5.055
MPCproject_0413_B,0.519
MPCproject_0420_B,2.112
MPCproject_0495_B,1.703
MPCproject_0503_B,1.7990000000000002
MPCproject_0521_B,0.939
